"response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.news_desk","response.docs.section_name","response.docs.subsectoinName","response.docs.type_of_material","response.docs.word_count","response.docs.score","response.docs.byline.organization","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization.1","response.meta.hits","response.meta.offset"
"https://www.nytimes.com/2018/06/12/world/asia/trump-kim-summit-statement.html","The document says the United States and North Korea will “join their efforts to build a lasting and stable peace regime on the Korean Peninsula.”","The document says the United States and North Korea will “join their efforts to build a lasting and stable peace regime on the Korean Peninsula.”","The New York Times","2018-06-12T09:30:35+0000","Foreign","World","Asia Pacific","News",440,0,"The New York Times",NA,NA,NA,NA,"By THE NEW YORK TIMES","The New York Times",268,0
"https://www.nytimes.com/2018/06/11/world/asia/trump-kim-summit-primer.html","Where will they meet? What’s on the agenda? Who will be there?","Where will they meet? What’s on the agenda? Who will be there?","The New York Times","2018-06-11T14:28:58+0000","Foreign","World","Asia Pacific","News",1061,0,NA,"","",NA,NA,"By MEGAN SPECIA",NA,268,0
"https://www.nytimes.com/2018/06/11/world/asia/trump-kim-summit.html","Mr. Trump consulted with Asian leaders, while envoys tried to nail down the wording of a joint statement that he and Kim Jong-un could issue at the end of the meeting.","Mr. Trump consulted with Asian leaders, while envoys tried to nail down the wording of a joint statement that he and Kim Jong-un could issue at the end of the meeting.","The New York Times","2018-06-11T06:53:02+0000","Foreign","World","Asia Pacific","News",1522,0,NA,NA,NA,NA,NA,"By MARK LANDLER",NA,268,0
"https://www.nytimes.com/2018/06/12/world/asia/trump-kim-summit.html","President Trump said “war games” on the Korean Peninsula would stop, catching the Pentagon and South Korea off guard, after meeting with North Korea’s leader, Kim Jong-un.","President Trump said “war games” on the Korean Peninsula would stop, catching the Pentagon and South Korea off guard, after meeting with North Korea’s leader, Kim Jong-un.","The New York Times","2018-06-12T14:10:52+0000","Foreign","World","Asia Pacific","News",2051,0,"The New York Times","Live Briefing","Live Briefing",NA,NA,"By THE NEW YORK TIMES","The New York Times",268,0
"https://www.nytimes.com/2018/06/12/world/asia/north-korea-summit.html","President Trump used flattery, cajolery and a slick film in his quest to persuade North Korea’s leader to give up nuclear arms. But he got no guarantees.","President Trump used flattery, cajolery and a slick film in his quest to persuade North Korea’s leader to give up nuclear arms. But he got no guarantees.","The New York Times","2018-06-12T20:40:26+0000","Foreign","World","Asia Pacific","News",1588,0,NA,NA,NA,NA,NA,"By MARK LANDLER",NA,268,0
"https://www.nytimes.com/2018/06/12/business/dealbook/trump-kim-jong-un-north-korea.html","The president’s bid to make peace with North Korea could change the way the U.S. trades with other Asian nations.","The president’s bid to make peace with North Korea could change the way the U.S. trades with other Asian nations.","The New York Times","2018-06-12T09:57:41+0000","Business","Business Day","DealBook","News",1438,0,NA,NA,NA,NA,NA,NA,NA,268,0
"https://www.nytimes.com/2018/06/13/world/asia/trump-kim-summit-asian-allies.html","President Trump’s concessions to North Korea exacerbated fears about America’s commitment and security guarantees. Even the Pentagon seemed confused.","President Trump’s concessions to North Korea exacerbated fears about America’s commitment and security guarantees. Even the Pentagon seemed confused.","The New York Times","2018-06-13T12:00:51+0000","Foreign","World","Asia Pacific","News",1418,0,NA,NA,NA,NA,NA,"By MOTOKO RICH",NA,268,0
"https://www.nytimes.com/2018/06/10/world/asia/kim-jong-un-trump-north-korea-singapore.html","President Trump flew from a tempestuous G-7 meeting in Canada to Singapore to meet the North Korean leader, Kim Jong-un.","President Trump flew from a tempestuous G-7 meeting in Canada to Singapore to meet the North Korean leader, Kim Jong-un.","The New York Times","2018-06-10T09:07:07+0000","Foreign","World","Asia Pacific","News",1262,0,NA,NA,NA,NA,NA,"By MOTOKO RICH",NA,268,0
"https://www.nytimes.com/2018/06/01/world/asia/trump-north-korea-summit-kim.html","The head-spinning diplomatic reversal came as President Trump welcomed North Korea’s former intelligence chief to a rare meeting at the White House.","The head-spinning diplomatic reversal came as President Trump welcomed North Korea’s former intelligence chief to a rare meeting at the White House.","The New York Times","2018-06-01T17:22:45+0000","Washington","World","Asia Pacific","News",1611,0,NA,NA,NA,NA,NA,"By PETER BAKER",NA,268,0
"https://www.nytimes.com/2018/06/11/world/asia/trump-kim-summitmeeting.html","The president and the North Korean leader, Kim Jong-un, signed a document that Mr. Trump called “comprehensive,” though it was short on details.","The president and the North Korean leader, Kim Jong-un, signed a document that Mr. Trump called “comprehensive,” though it was short on details.","The New York Times","2018-06-12T00:19:04+0000","Foreign","World","Asia Pacific","News",1733,0,NA,NA,NA,NA,NA,"By MARK LANDLER",NA,268,0
"https://www.nytimes.com/2018/06/15/world/asia/north-korea-kim-trump-film.html","A new propaganda film shows Kim Jong-un as a global leader on an equal footing with President Trump.","A new propaganda film shows Kim Jong-un as a global leader on an equal footing with President Trump.","The New York Times","2018-06-15T11:35:00+0000","Foreign","World","Asia Pacific","News",1079,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,10
"https://www.nytimes.com/2018/06/12/world/asia/trump-kim-summit-theatrics.html","A peek inside the presidential limo, a joke about looking thin, a splashy video showing the benefits of peace. The political theatrics were riveting.","A peek inside the presidential limo, a joke about looking thin, a splashy video showing the benefits of peace. The political theatrics were riveting.","The New York Times","2018-06-12T14:34:52+0000","Foreign","World","Asia Pacific","News",1381,0,NA,NA,NA,NA,NA,"By MOTOKO RICH",NA,268,10
"https://www.nytimes.com/2018/06/06/world/asia/giuliani-kim-jong-un-north-korea.html","The remarks by Rudolph Giuliani, one of President Trump’s lawyers, may have lobbed an obstacle into the salvaged meeting less than a week before it is set to happen.","The remarks by Rudolph Giuliani, one of President Trump’s lawyers, may have lobbed an obstacle into the salvaged meeting less than a week before it is set to happen.","The New York Times","2018-06-07T00:40:21+0000","Foreign","World","Asia Pacific","News",568,0,NA,NA,NA,NA,NA,"By RICK GLADSTONE",NA,268,10
"https://www.nytimes.com/2018/06/12/world/asia/trump-kim-meeting-interpreter.html","Ten simple takeaways from President Trump’s summit meeting with North Korea’s leader, Kim Jong-un.","Ten simple takeaways from President Trump’s summit meeting with North Korea’s leader, Kim Jong-un.","The New York Times","2018-06-12T15:42:35+0000","Foreign","World","Asia Pacific","News",909,0,NA,"The Interpreter","The Interpreter",NA,NA,"By MAX FISHER",NA,268,10
"https://www.nytimes.com/2018/09/18/world/asia/moon-jae-in-pyongyang-kim-jong-un-summit.html","The promised trip would be the first ever by a North Korean leader. Mr. Kim also promised to dismantle missile facilities in the presence of outside inspectors.","The promised trip would be the first ever by a North Korean leader. Mr. Kim also promised to dismantle missile facilities in the presence of outside inspectors.","The New York Times","2018-09-18T07:50:14+0000","Foreign","World","Asia Pacific","News",1211,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN",NA,268,10
"https://www.nytimes.com/2018/06/18/business/dealbook/yale-ceo-att.html","A survey at the Yale C.E.O. Summit showed what many corporate chieftains took away from the Trump-Kim talks, the AT&T ruling, and more.","A survey at the Yale C.E.O. Summit showed what many corporate chieftains took away from the Trump-Kim talks, the AT&T ruling, and more.","The New York Times","2018-06-18T10:23:55+0000","Business","Business Day","DealBook","News",426,0,NA,NA,NA,NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/06/13/opinion/trump-kim-korea-summit.html","What did the Singapore summit accomplish, and did one side come out ahead?","What did the Singapore summit accomplish, and did one side come out ahead?","The New York Times","2018-06-13T19:50:19+0000","Letters","Opinion",NA,"Letter",574,0,NA,"Letters","Letters",NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/06/12/opinion/trump-kim-korea-summit.html","Readers offer mixed assessments: skepticism about the promises made, disgust at embracing a “ruthless tyrant,” and hope.","Readers offer mixed assessments: skepticism about the promises made, disgust at embracing a “ruthless tyrant,” and hope.","The New York Times","2018-06-12T17:12:40+0000","Letters","Opinion",NA,"Letter",584,0,NA,"Letters","Letters",NA,NA,NA,NA,268,10
"https://www.nytimes.com/2018/09/19/world/asia/north-south-korea-nuclear-weapons.html","Kim Jong-un agreed to “permanently dismantle” key facilities in a bid to ease tensions with South Korea, but his offers stop short of denuclearization.","Kim Jong-un agreed to “permanently dismantle” key facilities in a bid to ease tensions with South Korea, but his offers stop short of denuclearization.","The New York Times","2018-09-19T11:35:23+0000","Foreign","World","Asia Pacific","News",1581,0,NA,NA,NA,NA,NA,"By CHOE SANG-HUN and DAVID E. SANGER",NA,268,10
